pos_m;laplacian;canny;entropy;corner_counter;sobel
0;202;138;0;0;17;382606
50;196;138;0;0;17;377726
100;197;138;0;0;17;377961
150;197;138;0;0;17;377956
200;196;138;0;1;17;377905
250;194;138;0;0;17;375820
300;192;138;0;0;17;373170
350;189;138;0;3;17;369038
400;187;139;0;141;17;366672
450;181;467;0;647;17;382436
450;187;434;0;620;17;386760
460;187;850;0;753;17;392301
470;201;1105;0;820;17;404475
480;231;1170;0;892;17;419068
490;269;1161;0;918;17;433518
500;295;1156;0;937;17;443076
500;293;1153;0;934;17;442599
510;287;1149;0;925;17;443047
520;261;1146;0;908;17;436859
530;225;1137;0;878;17;425328
540;197;1095;0;851;17;412300
550;180;856;0;762;17;399461
600;173;139;0;182;17;371150
650;178;138;0;5;17;364859
700;180;138;0;1;17;363269
750;180;138;0;3;17;363562
800;181;138;0;2;17;363590
850;181;138;0;0;17;364170
900;182;138;0;1;17;364477
950;183;138;0;2;17;364766
1000;182;138;0;1;17;364307
1050;182;138;0;1;17;364319
