pos_m;laplacian;canny;entropy;corner_counter;sobel
0;178;105;0;1;9;360060
50;178;105;0;2;9;359916
100;178;105;0;1;9;359572
150;177;105;0;0;9;359310
200;175;105;0;0;9;356989
250;175;105;0;0;9;356940
300;172;105;0;1;9;353877
350;171;105;0;0;9;352447
400;170;105;0;4;9;351544
450;172;106;0;230;8;355954
450;179;105;0;210;9;362376
460;184;224;0;354;9;367042
470;187;461;0;410;9;366898
480;198;558;0;414;9;372108
490;208;556;0;428;8;376514
500;210;582;0;426;8;376857
500;209;583;0;428;8;379052
510;197;566;0;435;8;378277
520;186;550;0;419;8;374050
530;176;497;0;399;8;368071
540;168;362;0;379;8;360251
550;161;201;0;309;8;354163
600;161;105;0;47;8;343877
650;161;105;0;0;8;342775
700;162;105;0;1;8;343479
750;162;105;0;1;8;342941
800;160;105;0;1;8;341329
850;157;105;0;1;8;339004
900;156;105;0;0;8;336965
950;157;105;0;1;8;337787
1000;159;105;0;1;8;340467
1050;135;105;0;0;7;307161
